Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,References,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID,Subject
"Muller, L.",57000731262,Distributed Multi-Modal Artificial Intelligence with Optimization for High-Throughput Computing: Case Analysis 1,2023,Expert Syst. Appl.,35,12,,1117,1137,21,1,10.1016/j.arti.2023.000001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000001&doi=10.1016/j.arti.2023.000001,"Stanford University, Department of Computer Science, Stanford, United States","Muller, L., Stanford University, Department of Computer Science, Stanford, United States","The rapid proliferation of data-intensive systems has intensified the need for effective artificial intelligence within artificial intelligence. In this paper, we propose a novel distributed approach integrating optimization specifically optimized for heterogeneous systems. We establish formal theoretical guarantees and design an extensible architecture capable of handling fluctuating workloads. Extensive benchmarking against conventional state-of-the-art baselines shows an accuracy improvement of 10.7% and an operational latency reduction of 15.0%. The proposed methodology offers practical system design insights for deploying artificial intelligence in scalable settings.",artificial intelligence; natural language processing; optimization,artificial intelligence; natural language processing; optimization; Computer Science; Algorithms; Performance evaluation,,,,,National Science Foundation; Research Grants Council,Supported by academic research funding.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Muller, L., Stanford University, Department of Computer Science, Stanford, United States",,Elsevier / IEEE,4611-8359,,,,English,Expert Syst. Ap,Article,Final,None,Scopus,2-s2.0-85000000001,Artificial Intelligence
"Phalasak, K., Anderson, W., Brown, M., Kim, M.",57000496922; 57000182627; 57000678856; 57000407419,Automated Artificial Intelligence using Cloud Computing for Large-Scale Deployments: Case Analysis 2,2021,Expert Syst. Appl.,120,6,,1183,1196,14,9,10.1016/j.arti.2021.000002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000002&doi=10.1016/j.arti.2021.000002,"Kasetsart University, Department of Computer Engineering, Bangkok, Thailand","Phalasak, K., Kasetsart University, Department of Computer Engineering, Bangkok, Thailand; Anderson, W., Kasetsart University, Department of Computer Engineering, Bangkok, Thailand; Brown, M., Kasetsart University, Department of Computer Engineering, Bangkok, Thailand; Kim, M., Kasetsart University, Department of Computer Engineering, Bangkok, Thailand","The rapid proliferation of data-intensive systems has intensified the need for effective artificial intelligence within artificial intelligence. In this paper, we propose a novel automated approach integrating cloud computing specifically optimized for large-scale deployments. We establish formal theoretical guarantees and design an extensible architecture capable of handling fluctuating workloads. Extensive benchmarking against conventional state-of-the-art baselines shows an accuracy improvement of 10.7% and an operational latency reduction of 17.5%. The proposed methodology offers practical system design insights for deploying artificial intelligence in scalable settings.",artificial intelligence; reinforcement learning; generative ai; cloud computing; neural networks,artificial intelligence; reinforcement learning; generative ai; cloud computing; neural networks; Computer Science; Algorithms; Performance evaluation,,,,,National Science Foundation; Research Grants Council,Supported by academic research funding.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Phalasak, K., Kasetsart University, Department of Computer Engineering, Bangkok, Thailand",,Elsevier / IEEE,2139-1750,,,,English,Expert Syst. Ap,Article,Final,Gold,Scopus,2-s2.0-85000000002,Artificial Intelligence
"Kuson, J., Smith, O., Ngamjan-at, E., Kim, N.",57000356702; 57000271339; 57000584714; 57000497887,An Empirical Evaluation of Large Language Models with Cloud Computing Architectures: Case Analysis 3,2020,Expert Syst. Appl.,38,11,,665,673,9,8,10.1016/j.arti.2020.000003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000003&doi=10.1016/j.arti.2020.000003,"National University of Singapore, School of Computing, Singapore","Kuson, J., National University of Singapore, School of Computing, Singapore; Smith, O., National University of Singapore, School of Computing, Singapore; Ngamjan-at, E., National University of Singapore, School of Computing, Singapore; Kim, N., National University of Singapore, School of Computing, Singapore","The rapid proliferation of data-intensive systems has intensified the need for effective large language models within artificial intelligence. In this paper, we propose a novel optimal approach integrating cloud computing specifically optimized for cloud infrastructures. We establish formal theoretical guarantees and design an extensible architecture capable of handling fluctuating workloads. Extensive benchmarking against conventional state-of-the-art baselines shows an accuracy improvement of 19.4% and an operational latency reduction of 35.4%. The proposed methodology offers practical system design insights for deploying large language models in scalable settings.",large language models; transformers; few-shot learning; cloud computing; distributed systems,large language models; transformers; few-shot learning; cloud computing; distributed systems; Computer Science; Algorithms; Performance evaluation,,,,,National Science Foundation; Research Grants Council,Supported by academic research funding.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Kuson, J., National University of Singapore, School of Computing, Singapore",,Elsevier / IEEE,4752-1525,,,,English,Expert Syst. Ap,Article,Final,Green,Scopus,2-s2.0-85000000003,Artificial Intelligence
"Kim, K., Brown, T., Rossi, M., Chaiyarongsri, M.",57000479580; 57000329974; 57000245051; 57000634277,Scalable Self-Supervised Framework for Natural Language Processing and Optimization Deployment: Case Analysis 4,2024,IEEE Trans. Pattern Anal. Mach. Intell.,106,1,,225,236,12,6,10.1016/j.arti.2024.000004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000004&doi=10.1016/j.arti.2024.000004,"University of Tokyo, Graduate School of Information Science and Technology, Tokyo, Japan","Kim, K., University of Tokyo, Graduate School of Information Science and Technology, Tokyo, Japan; Brown, T., University of Tokyo, Graduate School of Information Science and Technology, Tokyo, Japan; Rossi, M., University of Tokyo, Graduate School of Information Science and Technology, Tokyo, Japan; Chaiyarongsri, M., University of Tokyo, Graduate School of Information Science and Technology, Tokyo, Japan","The rapid proliferation of data-intensive systems has intensified the need for effective natural language processing within artificial intelligence. In this paper, we propose a novel self-supervised approach integrating optimization specifically optimized for decentralized networks. We establish formal theoretical guarantees and design an extensible architecture capable of handling fluctuating workloads. Extensive benchmarking against conventional state-of-the-art baselines shows an accuracy improvement of 12.5% and an operational latency reduction of 18.3%. The proposed methodology offers practical system design insights for deploying natural language processing in scalable settings.",natural language processing; large language models; transformers; optimization; software testing,natural language processing; large language models; transformers; optimization; software testing; Computer Science; Algorithms; Performance evaluation,,,,,National Science Foundation; Research Grants Council,Supported by academic research funding.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Kim, K., University of Tokyo, Graduate School of Information Science and Technology, Tokyo, Japan",,Elsevier / IEEE,3621-7916,,,,English,IEEE Trans. Pat,Article,Final,None,Scopus,2-s2.0-85000000004,Artificial Intelligence
"Nguyen, A., Brown, M., Brown, K.",57000624902; 57000898975; 57000287330,Adaptive Multi-Modal Generative Ai with Data Mining for High-Throughput Computing: Case Analysis 5,2020,IEEE Trans. Pattern Anal. Mach. Intell.,90,5,,1040,1053,14,3,10.1016/j.arti.2020.000005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000005&doi=10.1016/j.arti.2020.000005,"Chulalongkorn University, Department of Computer Engineering, Bangkok, Thailand","Nguyen, A., Chulalongkorn University, Department of Computer Engineering, Bangkok, Thailand; Brown, M., Chulalongkorn University, Department of Computer Engineering, Bangkok, Thailand; Brown, K., Chulalongkorn University, Department of Computer Engineering, Bangkok, Thailand","The rapid proliferation of data-intensive systems has intensified the need for effective generative ai within artificial intelligence. In this paper, we propose a novel adaptive approach integrating data mining specifically optimized for heterogeneous systems. We establish formal theoretical guarantees and design an extensible architecture capable of handling fluctuating workloads. Extensive benchmarking against conventional state-of-the-art baselines shows an accuracy improvement of 16.6% and an operational latency reduction of 17.4%. The proposed methodology offers practical system design insights for deploying generative ai in scalable settings.",generative ai; few-shot learning; data mining; cloud computing,generative ai; few-shot learning; data mining; cloud computing; Computer Science; Algorithms; Performance evaluation,,,,,National Science Foundation; Research Grants Council,Supported by academic research funding.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Nguyen, A., Chulalongkorn University, Department of Computer Engineering, Bangkok, Thailand",,Elsevier / IEEE,3504-7126,,,,English,IEEE Trans. Pat,Article,Final,Gold,Scopus,2-s2.0-85000000005,Artificial Intelligence
"Sato, E.",57000172574,Contrastive Learning Optimization via Optimal Machine Learning in Artificial Intelligence: Case Analysis 6,2021,Expert Syst. Appl.,108,3,,263,285,23,3,10.1016/j.arti.2021.000006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000006&doi=10.1016/j.arti.2021.000006,"KAIST, School of Computing, Daejeon, South Korea","Sato, E., KAIST, School of Computing, Daejeon, South Korea","The rapid proliferation of data-intensive systems has intensified the need for effective contrastive learning within artificial intelligence. In this paper, we propose a novel optimal approach integrating machine learning specifically optimized for real-time environments. We establish formal theoretical guarantees and design an extensible architecture capable of handling fluctuating workloads. Extensive benchmarking against conventional state-of-the-art baselines shows an accuracy improvement of 9.4% and an operational latency reduction of 32.1%. The proposed methodology offers practical system design insights for deploying contrastive learning in scalable settings.",contrastive learning; explainable ai; machine learning; deep learning,contrastive learning; explainable ai; machine learning; deep learning; Computer Science; Algorithms; Performance evaluation,,,,,National Science Foundation; Research Grants Council,Supported by academic research funding.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Sato, E., KAIST, School of Computing, Daejeon, South Korea",,Elsevier / IEEE,3705-5342,,,,English,Expert Syst. Ap,Article,Final,None,Scopus,2-s2.0-85000000006,Artificial Intelligence
"Wang, T.",57000680828,Optimal Multi-Modal Transformers with Cybersecurity for High-Throughput Computing: Case Analysis 7,2022,Expert Syst. Appl.,38,1,,146,154,9,0,10.1016/j.arti.2022.000007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000007&doi=10.1016/j.arti.2022.000007,"Mahasarakham University, Multi-agent and Intelligent Systems Laboratory, Maha Sarakham, Thailand","Wang, T., Mahasarakham University, Multi-agent and Intelligent Systems Laboratory, Maha Sarakham, Thailand","The rapid proliferation of data-intensive systems has intensified the need for effective transformers within artificial intelligence. In this paper, we propose a novel optimal approach integrating cybersecurity specifically optimized for high-performance computing clusters. We establish formal theoretical guarantees and design an extensible architecture capable of handling fluctuating workloads. Extensive benchmarking against conventional state-of-the-art baselines shows an accuracy improvement of 22.2% and an operational latency reduction of 21.3%. The proposed methodology offers practical system design insights for deploying transformers in scalable settings.",transformers; prompt engineering; few-shot learning; cybersecurity; software testing,transformers; prompt engineering; few-shot learning; cybersecurity; software testing; Computer Science; Algorithms; Performance evaluation,,,,,National Science Foundation; Research Grants Council,Supported by academic research funding.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Wang, T., Mahasarakham University, Multi-agent and Intelligent Systems Laboratory, Maha Sarakham, Thailand",,Elsevier / IEEE,4750-2104,,,,English,Expert Syst. Ap,Article,Final,All Open Access,Scopus,2-s2.0-85000000007,Artificial Intelligence
"Silva, M., Surinta, A., Rossi, P., Rossi, N.",57000589710; 57000864491; 57000156802; 57000806073,Automated Multi-Modal Large Language Models with Software Testing for High-Throughput Computing: Case Analysis 8,2022,IEEE Trans. Pattern Anal. Mach. Intell.,17,7,,695,705,11,11,10.1016/j.arti.2022.000008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000008&doi=10.1016/j.arti.2022.000008,"University of Toronto, Department of Computer Science, Toronto, Canada","Silva, M., University of Toronto, Department of Computer Science, Toronto, Canada; Surinta, A., University of Toronto, Department of Computer Science, Toronto, Canada; Rossi, P., University of Toronto, Department of Computer Science, Toronto, Canada; Rossi, N., University of Toronto, Department of Computer Science, Toronto, Canada","The rapid proliferation of data-intensive systems has intensified the need for effective large language models within artificial intelligence. In this paper, we propose a novel automated approach integrating software testing specifically optimized for cloud infrastructures. We establish formal theoretical guarantees and design an extensible architecture capable of handling fluctuating workloads. Extensive benchmarking against conventional state-of-the-art baselines shows an accuracy improvement of 26.8% and an operational latency reduction of 21.7%. The proposed methodology offers practical system design insights for deploying large language models in scalable settings.",large language models; prompt engineering; transformers; software testing; distributed systems,large language models; prompt engineering; transformers; software testing; distributed systems; Computer Science; Algorithms; Performance evaluation,,,,,National Science Foundation; Research Grants Council,Supported by academic research funding.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Silva, M., University of Toronto, Department of Computer Science, Toronto, Canada",,Elsevier / IEEE,5073-4139,,,,English,IEEE Trans. Pat,Article,Final,Gold,Scopus,2-s2.0-85000000008,Artificial Intelligence
"Smith, C., Muller, E., Rossi, F., Sato, S.",57000520521; 57000161483; 57000272634; 57000497382,Robust Multi-Modal Reinforcement Learning with Distributed Systems for High-Throughput Computing: Case Analysis 9,2024,Neural Networks,43,8,,585,605,21,1,10.1016/j.arti.2024.000009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000009&doi=10.1016/j.arti.2024.000009,"Stanford University, Department of Computer Science, Stanford, United States","Smith, C., Stanford University, Department of Computer Science, Stanford, United States; Muller, E., Stanford University, Department of Computer Science, Stanford, United States; Rossi, F., Stanford University, Department of Computer Science, Stanford, United States; Sato, S., Stanford University, Department of Computer Science, Stanford, United States","The rapid proliferation of data-intensive systems has intensified the need for effective reinforcement learning within artificial intelligence. In this paper, we propose a novel robust approach integrating distributed systems specifically optimized for high-performance computing clusters. We establish formal theoretical guarantees and design an extensible architecture capable of handling fluctuating workloads. Extensive benchmarking against conventional state-of-the-art baselines shows an accuracy improvement of 11.1% and an operational latency reduction of 34.8%. The proposed methodology offers practical system design insights for deploying reinforcement learning in scalable settings.",reinforcement learning; generative ai; few-shot learning; distributed systems; optimization,reinforcement learning; generative ai; few-shot learning; distributed systems; optimization; Computer Science; Algorithms; Performance evaluation,,,,,National Science Foundation; Research Grants Council,Supported by academic research funding.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Smith, C., Stanford University, Department of Computer Science, Stanford, United States",,Elsevier / IEEE,8973-3536,,,,English,Neural Networks,Article,Final,Gold,Scopus,2-s2.0-85000000009,Artificial Intelligence
"Fernandez, C., Li, C.",57000723939; 57000171262,Efficient Transformers using User Experience for Edge Devices: Case Analysis 10,2023,J. Artif. Intell. Res.,61,2,,1167,1181,15,2,10.1016/j.arti.2023.000010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000010&doi=10.1016/j.arti.2023.000010,"University of Toronto, Department of Computer Science, Toronto, Canada","Fernandez, C., University of Toronto, Department of Computer Science, Toronto, Canada; Li, C., University of Toronto, Department of Computer Science, Toronto, Canada","The rapid proliferation of data-intensive systems has intensified the need for effective transformers within artificial intelligence. In this paper, we propose a novel efficient approach integrating user experience specifically optimized for edge devices. We establish formal theoretical guarantees and design an extensible architecture capable of handling fluctuating workloads. Extensive benchmarking against conventional state-of-the-art baselines shows an accuracy improvement of 26.8% and an operational latency reduction of 30.8%. The proposed methodology offers practical system design insights for deploying transformers in scalable settings.",transformers; artificial intelligence; contrastive learning; user experience,transformers; artificial intelligence; contrastive learning; user experience; Computer Science; Algorithms; Performance evaluation,,,,,National Science Foundation; Research Grants Council,Supported by academic research funding.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Fernandez, C., University of Toronto, Department of Computer Science, Toronto, Canada",,Elsevier / IEEE,1651-2343,,,,English,J. Artif. Intel,Article,Final,Bronze,Scopus,2-s2.0-85000000010,Artificial Intelligence
